# Sensor: Sensor Rotor
# Record count: 2014
# Storage mode: Memory
# Datetime of save: 2023-10-04T19:21:43
# Statistical parameters for each field (time series) are placed above the column of the respective time series.

# Results earlier than the 'Statistics start time' (see below) are not included when calculating the statistic variables.
# Statistics start time: 0 s

# Column
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	
Time [s]	Power (aero) [k W]	Torque (aero) [k Nm]	Thrust (aero) [k N]	RPM [rpm]	TSR []	Demanded collective pitch angle [°]	Power coef. (CP) [%]	Thrust coef. (CT) [%]	Tip speed [m/s]	1P (one revolution) [s]	nP (blade passing) [s]	Azimuth angle [°]	Rotation per timestep [°]	Wind speed at hub, magnitude [m/s]	Wind speed at hub.x [m/s]	Wind speed at hub.y [m/s]	Wind speed at hub.z [m/s]	Wind angle at hub [°]	Yaw angle [°]
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
Min	10712.1 [0.55s]	10517.5 [0.55s]	675.661 [3.475s]	9.726 [0s]	4.53661 [0s]	17.114 [0s]	8.76861 [0.55s]	11.0615 [3.475s]	90.7322 [0s]	6.16903 [0s]	2.05634 [0s]	0 [0s]	1.4589 [0s]	20 [0s]	0 [0s]	-20 [0s]	0 [0s]	0 [0s]	0 [0s]
Max	10717.2 [32.975s]	10522.5 [32.975s]	676.185 [0.075s]	9.726 [0s]	4.53661 [0s]	17.114 [0s]	8.77277 [32.975s]	11.0701 [0.075s]	90.7322 [0s]	6.16903 [0s]	2.05634 [0s]	359.934 [24.7s]	1.4589 [0s]	20 [0s]	0 [0s]	-20 [0s]	0 [0s]	0 [0s]	0 [0s]
Mean	10715.8	10521.2	675.933	9.726	4.53661	17.114	8.77168	11.066	90.7322	6.16903	2.05634	177.074	1.4589	20	0	-20	0	0	0
Standard deviation	0.907608	0.891118	0.0769976	nan	1.1053e-06	nan	0.000742942	0.00126056	9.61929e-06	nan	nan	105.131	nan	0	0	0	0	0	0
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
0	10712.7	10518.1	676.181	9.726	4.53661	17.114	8.7691	11.07	90.7322	6.16903	2.05634	0	1.4589	20	0	-20	0	0	0
0.025	10712.7	10518.1	676.181	9.726	4.53661	17.114	8.7691	11.07	90.7322	6.16903	2.05634	0	1.4589	20	0	-20	0	0	0
0.05	10712.7	10518	676.183	9.726	4.53661	17.114	8.76907	11.0701	90.7322	6.16903	2.05634	1.4589	1.4589	20	0	-20	0	0	0
0.075	10712.7	10518.1	676.185	9.726	4.53661	17.114	8.7691	11.0701	90.7322	6.16903	2.05634	2.9178	1.4589	20	0	-20	0	0	0
